srcIP,dstIP,protocol,sPort,dPort
569,21,6,25,80
207,564,6,20,22
452,917,17,22,80
148,870,89,53,53
213,284,6,25,80
8,290,6,53,80
990,187,1,53,53
167,77,1,68,68
968,736,1,68,21
744,287,17,21,80
612,687,1,53,20
943,722,6,20,79
195,864,6,25,80
173,70,6,79,68
1825,798,17,20,80
734,671,1,23,25
141,965,17,53,22
303,280,6,23,80
971,316,6,25,25
894,986,17,80,53
121,380,89,80,20
64,524,6,23,20
723,740,17,25,22
324,702,17,53,22
769,236,17,22,80
554,617,1,53,23
398,762,17,53,20
898,566,17,68,20
270,846,6,23,53
104,947,6,20,23
589,657,89,25,80
50,803,6,25,20
37,140,17,53,53
489,626,17,53,79
924,674,17,20,53
285,235,1,53,80
741,989,17,79,80
181,829,6,22,22
347,283,6,68,53
305,863,17,23,80
819,28,1,80,20
355,122,17,79,53
399,540,6,21,79
982,861,17,53,53
350,789,17,22,20
576,501,89,53,22
427,663,17,53,23
164,742,17,53,80
723,996,6,22,68
909,698,6,25,53
463,307,17,53,53
885,929,6,53,80
486,261,17,22,80
347,51,6,53,21
488,153,6,21,25
623,532,6,21,22
92,588,17,80,21
19,83,17,79,22
738,781,6,53,80
306,775,17,80,68
277,236,6,20,21
528,179,17,53,25
550,487,6,23,22
891,969,17,23,53
78,87,17,80,80
581,696,6,53,53
339,984,6,25,53
387,178,6,22,23
384,429,6,21,20
957,133,6,23,80
949,147,17,23,80
608,4,17,20,21
156,68,6,20,53
877,353,17,22,80
206,702,6,68,80
434,363,17,25,53
364,291,17,80,53
689,647,89,53,25
79,784,6,68,22
571,763,6,80,21
989,658,17,53,53
839,788,17,53,79
669,892,6,20,23
153,791,17,53,80
289,218,17,20,80
787,768,17,53,53
155,615,6,53,25
289,180,6,21,22
936,388,17,80,53
102,305,6,21,80
31,822,6,25,21
131,48,17,25,22
196,864,17,79,53
467,805,1,53,21
787,386,6,25,22
973,703,17,68,23
102,325,17,80,25
135,1,6,53,80
344,187,6,25,23
612,588,1,80,80
726,240,17,68,25
983,810,17,25,25
780,976,17,25,21
77,508,6,23,25
44,401,6,22,20
913,748,6,80,23
279,48,6,25,21
705,910,6,68,21
893,180,6,25,22
160,75,6,53,21
283,896,17,80,23
628,454,6,53,79
398,703,17,23,80
289,243,6,20,79
89,285,6,80,20
969,197,17,25,22
635,604,17,80,23
437,474,17,80,53
690,50,17,80,23
925,654,89,80,80
995,303,1,25,53
601,613,6,53,53
930,423,1,80,22
697,903,1,25,25
116,836,6,53,53
308,227,17,53,53
268,339,6,80,20
690,332,6,22,68
122,193,17,21,53
769,359,6,80,25
372,385,17,53,80
133,397,6,23,23
430,823,17,20,68
197,724,6,20,22
489,441,17,22,53
393,817,17,25,53
448,361,89,80,21
877,93,6,25,80
453,18,6,25,23
998,287,17,20,53
11,487,6,23,22
167,72,17,21,21
107,771,17,22,20
903,965,17,20,20
604,690,17,80,53
109,59,6,53,21
744,702,17,21,22
199,980,89,80,53
453,975,6,22,25
770,659,1,25,21
906,510,17,21,20
279,380,17,80,53
194,38,17,22,68
405,189,17,80,20
619,467,6,22,23
588,981,6,53,80
164,240,17,80,21
359,883,6,53,80
911,510,17,22,80
373,895,89,25,53
570,257,6,80,21
704,767,6,23,20
718,185,89,53,53
373,969,6,23,25
368,540,17,23,25
712,5,17,53,23
740,494,6,79,21
118,74,17,20,79
7,66,17,20,25
947,327,6,53,80
498,876,17,22,20
434,387,17,25,53
216,352,17,79,23
104,692,6,22,79
709,479,17,53,23
989,592,17,80,80
467,635,1,22,22
930,252,6,23,80
973,880,17,23,80
258,108,89,22,80
454,245,6,22,21
362,542,17,20,79
93,161,6,80,80
929,504,6,22,53
54,385,17,20,80
121,872,17,23,80
735,473,17,80,53
863,656,17,22,21
534,879,17,20,53
282,470,6,80,53
213,926,6,68,22
85,854,6,25,20
843,172,6,22,23
939,914,17,53,22
744,187,17,21,68
551,406,89,21,79
865,533,1,25,23
240,614,17,23,22
859,858,6,25,53
439,111,6,80,68
710,2,89,23,21
487,396,6,80,23
293,557,17,22,80
821,144,17,80,22
993,641,6,53,21
830,228,17,68,21
129,181,17,20,80
31,225,6,23,53
806,337,6,68,20
760,914,17,53,22
722,793,17,80,80
476,221,17,68,20
427,479,6,22,21
533,882,17,22,79
488,539,17,80,22
921,939,89,22,23
871,550,6,79,23
922,71,6,21,22
253,372,17,21,80
738,546,17,25,22
233,151,17,21,68
22,126,6,80,53
298,683,17,53,20
23,650,1,79,21
871,424,6,79,20
643,454,6,53,22
404,413,6,80,53
140,191,17,21,25
285,447,1,68,21
355,879,17,20,22
381,59,1,21,80
229,480,89,80,22
160,528,6,53,23
975,575,17,80,22
16,579,6,22,79
509,245,17,23,23
196,935,17,80,23
270,356,6,20,80
485,860,6,80,68
232,274,6,80,68
791,512,17,79,80
271,35,17,80,25
758,397,17,53,53
118,409,17,20,53
177,725,6,53,22
662,51,6,80,53
920,48,17,80,80
322,759,17,23,25
1825,798,17,53,80
337,850,89,20,21
241,744,6,21,53
998,749,6,21,79
811,897,17,23,22
666,274,17,25,53
654,37,17,25,21
19,686,6,22,22
309,557,17,53,53
109,86,1,20,22
695,844,6,53,23
347,637,17,53,21
648,199,17,21,53
749,855,17,21,53
838,319,1,20,25
782,654,17,25,80
952,906,6,23,23
704,497,6,20,53
396,906,6,21,22
81,251,6,22,79
394,635,17,80,23
397,376,17,53,23
301,720,6,80,22
56,925,1,80,22
312,318,89,53,79
305,395,17,23,25
545,290,17,20,20
42,35,17,20,80
869,539,6,79,22
596,464,6,23,80
709,152,89,80,21
778,210,89,25,23
596,826,6,68,80
420,650,6,80,80
694,163,6,53,53
636,305,6,25,53
533,254,17,20,80
541,154,17,21,80
904,629,17,25,80
375,496,6,80,21
433,932,17,53,80
254,587,6,80,21
647,976,6,53,80
577,744,6,80,79
257,957,17,79,79
647,657,17,53,53
378,971,89,23,80
966,556,6,20,25
537,943,17,68,79
265,631,6,53,22
985,355,17,80,53
327,879,6,80,23
447,222,17,22,79
353,886,6,22,23
571,537,1,20,23
873,546,6,53,25
480,565,6,23,53
370,293,17,22,79
470,58,6,23,20
821,596,1,20,23
797,987,6,22,23
299,693,6,80,21
342,807,6,80,68
228,181,6,20,79
296,960,6,80,79
660,884,17,25,53
285,252,17,80,25
866,545,17,23,53
341,548,89,53,20
814,378,89,53,20
824,988,17,21,53
554,971,17,80,68
466,625,17,21,23
777,906,1,21,79
44,714,1,79,79
955,463,6,80,21
50,165,6,22,21
206,796,17,68,80
216,417,17,25,53
245,821,6,21,68
730,319,17,53,68
688,873,17,25,80
797,240,6,20,20
432,114,6,22,21
956,78,6,79,53
114,601,17,80,53
595,475,1,80,68
195,267,6,80,21
256,972,17,25,80
78,119,6,22,80
201,86,6,21,23
655,797,17,80,68
291,253,6,21,80
792,524,17,53,23
276,395,17,22,80
352,442,17,22,25
310,868,6,23,25
252,817,17,20,79
780,384,17,20,20
588,721,1,80,53
730,653,6,23,22
518,963,17,21,21
397,427,17,20,20
1825,798,17,53,80
612,112,6,68,23
409,611,1,80,68
762,883,17,53,80
95,374,6,53,53
669,392,6,25,68
541,673,6,53,23
803,187,17,22,20
508,534,17,53,68
391,78,17,80,20
499,225,6,25,21
788,55,6,23,21
45,186,17,22,22
794,896,6,23,53
219,347,17,21,23
83,835,6,20,53
948,465,6,79,25
546,637,17,22,53
389,563,6,23,23
1000,847,6,20,23
477,182,6,53,22
470,264,6,20,20
698,768,17,80,80
415,159,6,22,23
751,484,6,23,20
12,118,17,22,22
691,554,17,23,79
504,713,1,53,53
304,355,17,79,21
692,272,17,53,68
365,314,17,20,53
19,337,6,25,68
792,829,17,23,68
704,570,17,22,22
76,516,6,53,53
523,375,6,80,23
357,339,6,80,53
360,90,17,53,20
189,931,89,53,21
58,586,17,53,53
645,476,6,22,80
941,78,1,80,80
92,361,6,23,25
440,113,17,23,53
890,152,6,53,22
460,798,6,20,79
404,542,6,22,23
378,948,6,20,68
795,528,17,23,25
449,404,17,53,23
342,809,6,80,80
145,938,6,80,53
721,536,17,25,22
818,801,6,25,22
163,333,17,23,79
793,66,6,53,20
711,296,6,25,20
591,977,17,80,22
876,899,17,80,53
7,811,17,80,53
251,252,1,80,53
543,324,1,53,80
547,174,6,21,79
659,541,6,53,80
400,135,6,21,23
146,266,6,22,22
453,443,17,23,53
492,850,1,80,23
395,990,17,53,21
382,594,17,79,80
958,628,17,23,20
463,130,6,20,53
376,744,1,53,68
149,409,6,23,21
521,534,6,80,79
611,569,89,20,53
54,965,1,25,68
272,633,89,53,21
437,568,6,53,53
241,504,17,21,20
915,654,17,21,25
822,526,17,80,20
295,504,17,53,79
53,505,6,53,25
434,575,17,79,25
610,674,6,80,21
487,159,17,23,20
144,252,17,80,80
374,333,17,20,21
436,33,6,79,25
980,727,6,68,80
215,379,6,80,20
243,822,17,53,53
59,798,17,21,80
56,953,17,53,79
794,56,17,22,80
66,721,17,80,68
335,895,6,22,53
295,341,17,80,80
587,780,1,80,23
8,237,6,20,53
885,285,17,21,80
66,333,17,80,22
796,934,17,53,53
366,35,17,79,53
818,9,6,68,80
244,159,6,23,53
491,532,6,20,53
500,784,6,80,20
396,15,6,22,21
781,974,6,80,53
884,997,89,20,80
802,898,6,80,53
274,26,17,20,25
889,66,17,79,80
682,805,17,53,21
208,77,6,23,80
940,535,6,53,80
60,938,6,79,53
904,555,6,80,53
90,306,17,22,53
206,402,6,22,53
340,684,17,23,25
134,714,17,25,80
254,671,1,80,80
174,363,17,53,25
672,981,17,53,22
89,195,6,53,21
616,209,89,21,20
521,293,17,79,20
87,7,6,53,21
599,404,17,53,80
843,674,6,22,20
598,427,17,21,80
983,426,6,53,53
345,581,6,80,53
498,481,6,22,25
771,349,17,25,53
222,935,17,23,53
112,941,17,80,22
224,82,17,79,23
719,834,17,21,21
2,787,17,53,68
73,735,6,22,22
508,775,6,53,53
302,24,6,21,21
566,90,6,53,25
184,370,17,20,53
909,944,17,21,68
73,216,6,80,80
762,867,89,20,25
501,344,17,53,25
475,343,6,25,22
862,315,17,25,25
755,272,17,20,80
280,381,6,53,22
206,883,1,20,22
817,900,17,25,79
811,714,6,23,80
659,679,17,53,80
136,155,17,21,21
50,262,6,53,22
321,329,6,53,23
696,981,6,25,80
1825,798,17,53,80
764,876,6,80,68
965,59,6,25,79
77,999,17,68,22
143,499,17,68,53
360,727,6,53,80
986,940,6,25,79
839,536,6,22,23
645,813,6,80,53
967,869,6,53,21
314,294,6,23,80
560,147,17,25,21
384,683,17,53,53
9,732,17,53,53
284,251,6,53,25
893,248,6,53,22
256,372,17,22,21
58,782,17,20,23
282,560,17,21,21
390,65,17,21,22
510,824,17,53,80
908,803,6,80,25
734,92,6,21,21
894,823,17,80,53
830,839,17,25,21
628,604,6,53,80
875,858,17,20,53
632,49,6,25,22
728,108,1,53,80
554,733,6,25,22
871,984,17,25,23
890,750,17,20,53
214,207,6,21,53
853,754,17,80,21
879,631,6,22,80
163,861,17,80,68
907,786,1,68,23
988,142,1,22,20
924,277,89,22,21
708,397,17,53,53
979,350,6,53,80
732,771,17,80,68
131,520,1,23,21
926,647,6,53,68
808,24,6,25,23
821,331,17,21,80
375,440,17,80,53
29,871,17,20,21
885,676,6,23,25
849,205,6,25,25
733,955,17,80,80
492,135,6,53,20
269,172,6,25,20
562,117,6,53,23
354,555,89,25,80
356,125,17,20,20
345,182,17,53,25
568,220,6,53,21
414,861,6,22,25
237,787,89,21,20
832,393,17,25,25
53,263,17,25,53
102,878,6,25,53
848,411,17,53,53
928,793,6,80,22
77,356,6,53,68
369,338,17,53,80
544,263,89,23,20
349,468,17,68,25
360,586,6,68,80
222,754,17,25,25
383,29,17,25,25
430,931,6,21,20
730,713,6,23,53
848,772,17,53,53
715,627,1,21,53
465,14,6,53,53
881,402,6,53,53
827,829,17,20,22
531,820,6,20,80
404,740,17,68,23
546,768,6,68,21
700,105,6,53,23
326,25,6,80,80
409,980,6,80,53
873,94,17,53,80
700,712,6,20,23
284,666,17,79,25
346,426,6,25,53
723,790,6,22,53
282,337,6,53,25
478,271,6,80,79
164,126,17,80,53
54,372,17,25,80
861,614,17,21,25
269,171,6,23,25
234,200,6,79,20
503,151,6,80,20
296,351,17,53,80
811,983,17,80,80
809,893,89,80,22
328,523,89,80,80
862,413,17,53,53
209,825,6,80,21
7,480,6,20,68
707,408,89,80,53
57,241,17,21,21
1825,798,17,53,80
644,780,6,53,25
697,490,1,20,21
34,750,17,80,22
886,248,1,20,53
658,504,17,53,20
511,986,6,80,23
504,933,17,53,53
491,766,6,22,53
642,855,89,21,20
839,210,6,21,23
957,384,89,23,23
808,4,6,23,79
510,615,17,20,20
99,279,17,21,20
866,978,17,20,22
850,826,17,23,80
900,848,17,53,25
15,314,6,25,25
151,883,17,80,80
782,21,17,68,80
23,688,6,53,25
552,120,6,20,53
216,368,6,53,53
491,679,17,22,22
330,971,6,23,25
338,256,6,68,79
215,687,17,79,23
193,76,6,25,22
773,601,1,23,25
878,604,17,25,23
526,331,17,53,79
993,831,17,53,21
826,8,17,23,68
872,809,89,79,23
81,25,6,25,80
562,32,17,53,21
8,168,17,25,23
743,65,6,53,25
652,773,6,25,53
278,152,17,23,23
979,863,17,80,20
950,200,17,80,25
521,864,6,21,20
602,59,1,20,23
70,660,1,53,80
445,20,17,21,80
850,335,17,79,80
54,844,17,20,53
508,802,1,20,20
367,569,17,22,21
585,694,17,68,80
432,50,1,80,80
100,611,6,53,80
457,769,17,53,80
367,508,17,25,21
423,998,17,53,80
691,158,89,80,25
978,465,17,53,80
756,60,89,21,53
514,399,6,80,80
2,263,17,23,20
219,366,6,20,80
198,728,17,22,53
599,296,6,25,53
633,993,6,22,22
389,638,17,25,53
109,107,6,21,79
388,893,17,79,23
478,325,6,80,20
24,58,6,20,53
780,367,6,53,21
722,812,17,25,25
369,323,6,80,80
429,526,89,53,20
928,338,6,23,21
496,932,17,21,80
845,603,17,22,53
830,798,17,79,80
757,651,6,79,53
223,401,17,20,53
34,960,17,53,68
826,104,17,25,80
330,61,17,25,25
560,770,6,80,80
108,437,17,80,79
485,403,89,80,21
456,124,1,20,68
290,900,6,68,53
894,358,6,22,20
835,730,6,22,23
250,468,17,53,53
996,605,1,53,23
892,273,17,53,79
601,209,17,20,53
545,178,1,22,80
346,986,17,20,80
929,561,6,53,53
588,531,6,21,53
185,658,6,23,80
383,520,6,53,25
346,381,6,80,79
577,244,17,79,22
57,99,6,25,23
927,65,6,80,21
417,20,6,23,22
29,582,6,80,68
816,828,17,68,80
419,683,17,79,53
338,453,17,21,22
92,727,6,53,68
879,902,6,53,80
723,639,1,21,68
860,719,17,21,21
755,44,6,68,20
426,337,6,79,21
668,311,6,53,20
201,393,17,53,79
206,621,17,20,21
536,912,6,23,21
16,424,17,23,20
489,370,6,80,25
848,149,6,22,80
865,622,6,22,80
1825,798,17,23,80
506,856,1,21,80
574,11,1,68,80
637,617,6,80,23
983,226,6,22,22
682,687,6,80,20
696,585,6,25,79
313,357,17,20,53
765,508,6,20,53
373,123,17,53,53
178,396,6,80,80
741,501,17,80,53
857,605,6,22,20
777,113,1,80,20
308,728,6,80,23
471,754,17,53,53
319,511,17,80,53
871,819,6,23,53
374,588,1,53,80
373,193,17,25,53
132,182,6,21,20
831,667,6,21,53
287,363,6,20,80
752,519,89,22,20
686,275,1,80,20
871,452,17,80,68
615,975,17,20,68
469,919,6,21,22
908,31,1,21,80
535,76,6,79,80
580,157,6,23,21
402,760,6,21,79
525,198,6,68,20
654,178,6,23,80
338,390,89,80,22
580,897,6,53,25
104,642,17,21,20
812,776,17,79,20
854,501,17,21,53
684,185,1,80,80
810,842,17,20,80
107,502,17,80,80
66,319,17,80,22
766,614,6,80,22
774,951,6,23,53
528,270,17,68,53
866,471,6,53,80
95,187,17,80,53
490,509,17,22,53
674,274,1,53,79
180,539,1,53,80
108,739,6,21,20
196,35,6,25,22
488,351,6,20,53
468,782,17,53,80
361,58,17,22,53
197,693,6,21,20
501,952,6,25,20
953,713,6,23,68
694,260,17,80,53
771,528,6,22,53
18,69,6,79,53
339,662,6,23,23
351,566,17,22,53
331,899,17,21,53
195,415,6,53,21
419,150,17,22,20
128,273,17,25,80
371,164,17,25,25
568,154,17,53,68
761,286,6,25,25
559,953,17,53,53
933,405,89,53,21
597,110,17,79,79
463,723,6,80,53
322,298,17,53,79
979,250,6,20,25
700,742,6,80,53
213,216,89,20,22
715,275,17,80,22
583,515,17,21,80
21,496,6,23,80
812,787,17,23,68
214,337,17,80,53
979,637,1,53,22
937,575,6,23,53
740,654,6,53,53
337,621,17,53,53
965,123,6,53,80
626,858,17,79,25
756,906,17,80,53
478,562,6,80,21
448,247,17,53,25
398,826,6,80,20
103,26,6,53,25
989,739,1,23,53
601,268,6,25,25
708,294,6,80,79
469,880,6,25,53
517,93,6,80,22
388,255,17,25,53
481,764,6,53,53
880,390,6,23,53
891,636,17,23,53
797,436,17,21,20
417,599,6,20,22
846,422,6,21,80
121,676,6,22,80
518,198,17,23,79
640,437,89,20,80
412,279,17,53,22
447,819,6,22,80
858,212,6,21,21
393,26,1,68,80
934,676,1,25,53
528,832,6,79,53
661,788,6,80,53
757,190,1,53,23
684,324,6,20,53
774,83,17,21,25
518,745,17,80,22
53,997,6,22,20
619,640,6,79,20
146,579,6,22,23
659,80,17,79,25
635,457,6,53,80
79,489,17,25,80
1825,798,17,79,80
73,51,1,80,21
934,432,1,22,21
362,861,6,80,21
244,341,6,80,20
254,216,17,22,21
827,901,17,68,22
609,5,6,53,22
394,815,89,79,21
627,30,17,80,80
651,256,6,80,53
988,86,17,68,80
227,14,17,53,53
926,693,6,22,23
779,724,6,53,25
649,789,6,20,21
592,850,17,79,80
506,475,6,23,22
860,521,17,53,22
181,555,6,68,23
478,684,6,21,20
132,882,6,25,20
612,520,6,80,53
463,992,17,23,23
305,44,6,20,53
503,400,17,53,21
269,643,6,53,20
645,795,6,20,21
922,768,17,25,53
864,599,6,68,53
598,949,6,21,25
243,857,17,53,53
707,876,6,23,53
296,474,17,79,21
715,602,1,53,22
663,948,6,79,53
708,720,17,53,79
120,101,6,21,21
689,31,17,80,22
952,930,6,80,21
370,513,6,22,22
548,119,6,80,21
151,620,17,22,22
74,803,89,20,80
951,678,17,53,53
652,215,17,53,22
878,208,17,79,20
232,909,89,20,80
248,382,17,23,79
454,204,17,21,22
625,803,17,25,25
764,990,6,79,80
728,70,17,20,22
761,600,6,80,80
71,468,89,53,20
381,86,6,53,79
757,81,6,21,80
880,325,6,25,25
382,714,17,53,22
137,32,6,53,20
606,230,6,21,80
475,484,17,53,53
52,628,1,68,22
534,954,6,22,79
346,579,6,21,23
800,751,89,53,53
881,177,17,68,21
637,23,1,20,22
245,211,6,80,20
591,130,17,80,53
69,225,6,22,79
291,717,6,80,80
570,650,17,80,53
780,237,6,23,79
184,212,17,53,80
603,925,6,80,80
374,282,6,53,23
72,504,17,53,20
933,173,17,80,53
302,413,17,68,25
966,875,6,20,53
341,332,17,21,80
174,847,17,23,80
816,132,17,80,53
929,114,17,53,80
105,706,1,21,80
812,811,1,20,20
598,434,6,68,79
678,262,6,80,20
487,953,6,23,23
598,466,17,21,21
786,202,6,53,80
773,773,6,80,20
719,342,6,20,80
240,671,17,25,80
777,178,6,21,53
267,853,17,53,21
853,978,6,22,25
90,775,1,53,80
950,49,17,53,79
530,758,17,23,22
495,157,6,53,23
417,243,17,53,21
679,156,17,21,53
237,840,6,20,23
875,188,6,68,68
161,634,6,53,25
51,975,17,22,68
398,999,6,80,79
782,729,17,68,53
443,76,6,22,22
423,975,17,79,23
235,901,17,80,22
438,626,17,53,80
605,995,17,80,20
770,60,1,53,21
432,835,6,53,25
706,13,6,53,23
770,557,6,25,68
593,925,17,20,20
1825,798,17,23,80
607,874,17,25,25
212,532,6,53,53
787,916,89,25,20
1825,798,17,21,80
374,541,6,53,21
670,24,17,80,53
575,884,1,80,25
363,792,17,25,80
703,846,6,23,79
808,623,6,80,25
148,611,6,80,80
102,559,6,20,80
999,842,17,80,80
984,254,17,21,22
43,737,17,53,20
764,513,17,80,20
573,455,6,20,21
30,805,17,20,22
294,207,6,80,53
785,876,6,80,23
409,307,1,25,80
223,154,6,53,23
771,28,17,23,22
254,985,6,22,68
185,514,17,21,53
968,203,17,80,80
918,455,17,79,80
355,97,17,80,68
719,256,17,21,79
549,360,17,53,80
219,383,17,23,20
424,683,89,79,22
906,621,6,80,68
799,257,6,80,53
97,130,17,20,68
823,138,6,53,53
956,555,17,22,53
871,985,1,53,53
106,692,17,22,21
847,18,17,80,25
466,974,6,79,22
332,751,17,21,22
816,91,6,53,23
237,377,6,20,53
361,258,6,80,20
428,323,17,80,53
138,788,6,53,22
534,504,1,25,80
503,542,6,68,53
764,833,1,20,21
477,873,6,68,25
270,375,17,20,53
966,624,17,23,53
48,571,1,23,25
103,853,89,22,53
597,812,17,53,53
314,513,17,80,53
357,230,17,25,80
890,887,6,23,53
709,498,6,80,23
584,306,6,80,23
723,172,17,23,25
120,979,6,53,53
803,878,6,53,23
705,623,6,79,21
781,86,1,25,25
930,984,6,53,20
884,777,17,23,80
959,431,6,68,53
346,629,17,22,53
895,195,6,20,68
478,774,17,80,53
89,210,6,53,53
396,794,6,53,80
34,705,6,53,80
451,160,17,22,53
711,634,17,21,21
141,733,17,22,53
368,351,17,22,80
950,47,17,53,80
518,375,6,21,22
192,250,89,80,23
7,884,17,23,79
302,614,17,21,25
297,78,6,80,53
28,910,17,20,80
341,872,1,20,80
392,204,89,20,68
901,517,6,20,21
297,790,17,21,53
805,423,6,20,22
650,178,17,68,20
154,403,6,22,53
12,675,17,68,20
615,5,17,80,68
952,749,6,53,80
592,272,6,22,80
203,551,6,23,21
251,636,6,23,80
253,577,17,22,80
770,211,6,53,80
266,240,17,53,23
800,721,17,68,80
44,765,89,80,20
36,473,6,21,80
114,748,17,23,20
362,268,1,21,80
233,486,17,53,25
255,453,6,25,80
320,595,6,79,80
132,243,6,25,53
266,388,17,80,80
997,886,6,80,20
427,430,17,53,21
894,828,17,21,25
494,57,6,25,79
668,108,6,53,80
760,204,6,80,68
386,143,17,80,22
807,605,17,20,80
134,539,17,53,68
914,917,6,68,23
412,82,6,79,80
423,423,6,68,21
217,289,17,80,22
518,548,6,53,80
402,995,17,79,22
361,296,1,79,25
931,143,1,53,80
685,350,17,21,80
817,391,6,80,22
937,769,6,23,80
80,769,6,25,53
210,693,6,79,23
346,513,17,23,23
733,802,6,22,79
512,111,17,68,80
562,977,17,23,53
81,486,6,22,22
210,740,6,80,20
417,559,6,80,20
411,649,17,80,20
638,640,6,25,23
890,868,6,53,21
249,786,6,53,22
361,294,17,68,79
442,256,6,80,22
70,603,17,80,53
459,274,6,53,21
338,955,6,21,21
832,596,6,68,53
203,217,6,53,23
83,339,6,53,53
308,972,6,23,25
537,572,6,53,68
860,888,6,23,79
694,571,6,53,53
139,7,6,80,22
312,550,6,21,23
628,506,17,21,53
787,538,17,80,68
262,114,1,53,80
44,744,17,22,80
43,37,17,80,25
154,4,17,22,22
541,950,6,53,20
277,986,17,21,79
179,481,6,80,25
494,780,17,80,21
872,253,17,23,80
832,825,6,20,80
550,475,17,25,25
832,225,1,53,80
658,77,17,80,80
784,16,17,23,25
622,5,6,20,20
421,603,6,53,23
688,652,17,53,53
102,932,17,80,20
76,197,17,21,22
248,537,17,20,23
651,260,17,21,23
624,737,89,79,80
869,142,17,22,53
642,996,6,23,23
695,191,17,80,25
353,719,17,20,53
233,465,6,79,53
355,911,89,21,53
843,135,6,21,25
956,446,17,21,25
216,852,6,20,53
278,234,6,25,53
69,739,6,23,68
780,754,17,21,21
624,466,17,53,20
924,269,17,20,20
878,917,17,21,53
772,59,17,22,20
532,993,1,20,80
983,115,6,53,80
373,114,6,21,23
411,989,1,23,68
540,997,17,53,53
426,555,17,53,21
969,187,6,79,80
33,308,17,23,80
712,214,6,53,80
414,628,6,21,80
280,117,1,20,21
256,697,89,20,20
610,211,6,53,80
246,349,1,23,68
962,764,6,25,21
699,855,6,25,21
803,158,17,80,80
253,802,6,53,25
85,975,17,25,53
596,616,1,20,25
168,193,17,23,23
462,711,6,21,21
38,144,6,23,23
274,479,6,80,25
868,739,6,23,80
106,95,17,21,21
300,823,17,25,79
810,779,6,20,25
674,435,6,21,25
208,799,6,22,25
199,568,1,80,80
256,486,6,21,53
69,794,1,25,79
24,301,1,80,23
513,570,17,25,80
318,178,89,22,53
289,649,6,53,53
382,919,17,80,22
570,428,6,80,25
288,353,6,80,20
272,454,6,25,53
819,726,17,53,23
464,610,17,68,20
