srcIP,dstIP,protocol,sPort,dPort,activity
289,261,6,68,53,normal
887,578,17,53,21,normal
918,21,6,23,80,normal
636,543,17,25,53,normal
886,101,17,25,53,normal
406,704,6,22,80,normal
303,331,6,25,80,normal
322,838,17,53,20,normal
55,522,17,80,21,normal
781,293,6,22,20,normal
910,815,6,53,22,normal
377,375,17,80,80,normal
343,219,17,21,80,normal
443,869,6,80,53,normal
731,116,17,68,22,normal
190,956,6,53,80,normal
678,160,6,20,23,normal
430,634,89,20,79,normal
707,179,17,20,20,normal
959,204,6,80,21,normal
392,171,1,22,53,normal
404,286,6,22,20,normal
711,400,6,53,21,normal
205,270,17,80,20,normal
428,555,6,23,53,normal
678,103,6,68,23,normal
109,674,17,20,80,normal
704,995,6,23,80,normal
878,568,17,80,79,normal
772,174,1,23,80,normal
398,976,6,20,68,normal
689,202,6,68,23,normal
369,846,6,80,53,normal
383,382,6,20,80,normal
369,380,6,21,80,normal
712,150,6,23,22,normal
291,913,6,79,25,normal
516,685,6,80,22,normal
47,458,6,23,80,normal
327,610,6,23,22,normal
973,802,89,22,68,normal
845,992,17,80,22,normal
834,773,6,53,80,normal
394,950,6,80,20,normal
433,607,6,80,23,normal
51,459,6,79,80,normal
346,2,89,22,80,normal
702,42,1,23,21,normal
101,586,6,25,23,normal
182,488,17,68,25,normal
379,381,17,79,21,normal
698,355,6,25,22,normal
571,184,6,23,20,normal
762,399,17,23,79,normal
245,110,17,25,21,normal
796,862,6,20,22,normal
299,116,1,53,23,normal
177,722,17,22,23,normal
736,960,89,23,20,normal
982,993,17,21,20,normal
820,287,1,23,21,normal
881,709,17,80,53,normal
505,252,17,80,53,normal
183,226,17,23,53,normal
302,292,89,80,25,normal
963,155,1,23,25,normal
708,566,6,20,22,normal
499,639,17,20,53,normal
375,787,17,80,21,normal
940,275,6,68,80,normal
789,114,6,22,80,normal
690,346,6,68,21,normal
196,239,17,53,20,normal
858,480,17,53,79,normal
178,823,1,20,21,normal
704,432,6,25,53,normal
788,757,17,53,53,normal
557,877,89,53,53,normal
517,62,6,53,53,normal
663,576,6,53,23,normal
9,219,17,53,23,normal
377,771,6,80,79,normal
902,266,6,53,20,normal
275,100,1,80,53,normal
908,483,17,25,21,normal
241,55,6,80,20,normal
975,753,6,25,80,normal
598,834,6,68,25,normal
776,448,17,68,21,normal
358,908,17,22,21,normal
630,649,6,21,23,normal
1,973,17,20,79,normal
1709,791,6,21,80,anomaly
858,87,17,53,20,normal
222,951,6,23,23,normal
924,878,6,22,68,normal
664,852,6,80,53,normal
588,256,17,21,80,normal
684,146,6,53,68,normal
790,665,6,79,22,normal
897,304,6,25,23,normal
15,308,17,79,23,normal
283,109,6,23,53,normal
540,946,6,80,22,normal
276,291,17,80,25,normal
115,948,6,21,53,normal
670,416,6,21,80,normal
287,49,89,80,20,normal
22,150,17,20,80,normal
661,846,17,21,53,normal
702,889,17,79,80,normal
415,734,6,68,68,normal
784,811,6,21,23,normal
272,903,17,80,20,normal
968,95,17,22,25,normal
530,525,6,79,22,normal
934,621,17,22,20,normal
332,772,17,21,79,normal
674,715,17,80,20,normal
481,5,6,53,53,normal
103,97,17,23,23,normal
769,602,89,21,53,normal
481,131,89,22,80,normal
339,189,17,53,53,normal
888,321,6,20,25,normal
303,975,1,25,20,normal
402,460,6,21,53,normal
407,775,6,21,23,normal
640,222,6,80,22,normal
442,205,6,53,53,normal
831,477,6,53,80,normal
73,151,6,25,80,normal
657,285,17,80,79,normal
537,692,89,53,80,normal
616,411,6,25,80,normal
292,611,17,53,53,normal
210,597,6,20,79,normal
446,888,6,20,80,normal
634,198,17,68,80,normal
206,419,6,53,21,normal
415,893,6,80,25,normal
555,912,17,80,22,normal
771,825,17,23,21,normal
470,86,89,22,23,normal
525,385,6,21,21,normal
285,849,1,68,22,normal
122,440,17,80,25,normal
199,784,17,53,53,normal
640,558,6,80,20,normal
678,335,17,80,20,normal
354,823,6,22,53,normal
813,28,17,20,80,normal
305,331,1,22,21,normal
810,390,17,53,22,normal
606,258,1,80,80,normal
152,483,1,25,25,normal
513,567,17,21,23,normal
749,160,1,25,80,normal
186,235,6,80,21,normal
533,335,6,79,22,normal
644,631,17,21,80,normal
774,835,6,68,23,normal
856,273,6,22,20,normal
4,867,6,23,53,normal
691,352,6,22,80,normal
298,676,17,21,20,normal
237,766,17,80,53,normal
725,470,6,21,23,normal
249,185,17,21,20,normal
475,517,17,53,53,normal
915,254,17,21,21,normal
65,675,6,20,53,normal
990,492,6,22,80,normal
400,767,17,53,22,normal
806,983,6,22,22,normal
150,918,17,80,21,normal
343,760,6,22,21,normal
866,685,6,21,25,normal
531,237,6,25,20,normal
677,698,17,53,20,normal
70,74,17,20,80,normal
149,698,17,80,22,normal
354,722,17,20,80,normal
688,965,6,53,22,normal
547,669,6,80,22,normal
909,727,1,53,80,normal
710,835,17,53,20,normal
983,923,17,79,20,normal
990,697,6,22,23,normal
225,586,6,80,53,normal
754,116,6,25,53,normal
745,565,6,80,22,normal
501,716,6,53,20,normal
980,421,17,80,20,normal
199,212,6,80,80,normal
699,263,89,53,53,normal
903,576,17,21,53,normal
274,595,6,53,68,normal
232,984,6,20,68,normal
791,575,6,20,80,normal
117,805,6,25,53,normal
883,965,6,23,53,normal
357,467,1,80,20,normal
116,38,6,22,23,normal
48,621,6,23,80,normal
83,929,6,80,22,normal
424,595,6,79,53,normal
261,957,17,68,23,normal
689,390,89,20,22,normal
774,934,17,22,79,normal
364,299,1,23,80,normal
263,168,89,20,68,normal
845,101,17,80,21,normal
535,755,17,20,80,normal
557,566,89,80,53,normal
467,556,1,22,25,normal
204,925,17,21,68,normal
71,231,17,23,80,normal
597,701,17,21,21,normal
83,523,17,68,80,normal
859,21,6,22,80,normal
90,189,17,21,53,normal
952,462,17,20,22,normal
29,232,6,20,80,normal
236,301,17,25,53,normal
397,734,6,20,20,normal
268,589,17,20,53,normal
437,758,17,53,20,normal
844,259,89,21,22,normal
879,895,17,53,53,normal
614,206,6,23,79,normal
321,972,17,22,80,normal
347,800,6,20,53,normal
149,657,1,22,79,normal
543,135,17,20,53,normal
2,211,6,80,22,normal
824,282,6,23,80,normal
248,935,89,53,25,normal
469,274,6,23,80,normal
168,587,1,25,53,normal
343,571,1,53,53,normal
502,634,1,53,21,normal
336,608,17,80,25,normal
636,480,6,80,79,normal
567,457,89,21,80,normal
346,422,6,80,23,normal
638,923,6,22,80,normal
556,365,6,80,80,normal
281,592,6,21,20,normal
647,148,6,79,23,normal
337,412,6,23,79,normal
478,629,17,80,80,normal
595,486,17,21,68,normal
941,722,6,79,80,normal
463,594,6,53,68,normal
315,764,17,80,53,normal
519,59,17,23,20,normal
42,418,6,80,21,normal
341,933,89,80,21,normal
432,968,1,80,21,normal
433,260,1,80,68,normal
638,456,6,22,80,normal
552,611,6,80,53,normal
524,494,6,53,80,normal
790,922,17,21,80,normal
699,902,17,23,80,normal
54,498,17,79,53,normal
975,697,17,23,80,normal
746,861,6,20,25,normal
821,892,6,53,80,normal
286,711,89,68,25,normal
863,85,6,80,80,normal
403,112,6,23,53,normal
783,169,6,22,22,normal
571,317,17,53,25,normal
141,748,6,80,80,normal
528,743,17,25,79,normal
266,532,6,25,53,normal
909,592,6,68,25,normal
587,170,17,22,20,normal
626,763,6,80,80,normal
526,229,6,22,80,normal
18,762,6,80,23,normal
211,182,6,68,21,normal
391,796,17,20,22,normal
272,183,17,80,23,normal
745,375,6,20,80,normal
372,435,17,22,22,normal
457,732,6,80,21,normal
511,421,6,68,68,normal
943,900,17,68,22,normal
858,181,17,53,22,normal
795,398,17,20,53,normal
384,748,6,21,21,normal
298,836,6,25,68,normal
734,213,89,22,53,normal
74,906,17,22,25,normal
290,778,1,21,53,normal
321,691,17,23,22,normal
284,694,17,53,53,normal
286,342,17,21,80,normal
513,142,6,80,20,normal
327,382,17,53,22,normal
600,636,6,80,53,normal
180,768,17,20,21,normal
234,473,17,80,21,normal
33,322,6,80,80,normal
641,10,6,80,53,normal
508,951,1,68,20,normal
306,691,6,25,53,normal
398,800,1,25,22,normal
814,99,6,53,53,normal
910,259,6,20,80,normal
589,259,1,21,80,normal
975,461,6,80,80,normal
633,633,17,21,20,normal
53,139,1,21,21,normal
888,800,17,21,23,normal
420,498,17,80,23,normal
777,975,17,22,20,normal
29,614,17,22,23,normal
307,696,6,21,20,normal
664,142,17,22,53,normal
696,537,1,53,68,normal
84,543,6,53,23,normal
358,892,17,80,68,normal
301,245,6,22,80,normal
873,400,17,20,23,normal
352,916,6,21,20,normal
322,69,17,23,23,normal
679,326,6,21,25,normal
124,397,17,25,53,normal
118,548,6,25,22,normal
824,661,1,80,25,normal
4,305,6,25,20,normal
127,113,17,80,53,normal
603,438,6,79,53,normal
771,396,6,80,25,normal
932,133,6,80,80,normal
22,985,1,25,20,normal
689,621,17,80,20,normal
771,31,17,53,23,normal
134,83,1,21,80,normal
474,684,6,80,80,normal
818,269,17,25,53,normal
135,668,6,80,21,normal
403,949,6,80,23,normal
285,200,6,25,80,normal
499,7,17,21,53,normal
708,717,6,20,23,normal
281,70,6,53,20,normal
877,894,6,23,20,normal
966,274,17,20,21,normal
994,834,17,68,80,normal
656,889,17,21,80,normal
327,976,17,79,23,normal
943,797,6,68,25,normal
449,720,6,79,23,normal
938,547,17,22,21,normal
459,123,17,80,23,normal
728,998,6,53,80,normal
753,468,17,80,79,normal
574,427,17,25,21,normal
889,453,6,68,80,normal
877,991,17,80,23,normal
287,322,1,22,20,normal
489,201,1,25,23,normal
847,670,6,23,80,normal
891,66,17,22,80,normal
508,200,6,20,25,normal
471,234,6,22,22,normal
250,70,6,80,53,normal
626,431,6,53,80,normal
119,661,17,22,20,anomaly
983,60,17,22,23,normal
542,574,17,23,68,normal
451,361,6,20,22,normal
900,543,6,53,53,normal
504,580,6,80,53,normal
838,121,17,80,68,normal
831,128,6,21,80,normal
323,521,6,22,80,normal
10,661,17,20,20,anomaly
969,303,17,20,53,normal
333,970,17,22,53,normal
570,748,1,80,25,normal
919,920,17,53,25,normal
629,824,17,79,21,normal
771,275,17,21,23,normal
245,452,6,21,79,normal
445,86,89,68,80,normal
972,901,6,21,20,normal
783,35,17,22,23,normal
184,635,17,22,68,normal
686,313,6,20,68,normal
174,830,6,22,22,normal
669,639,17,53,53,normal
552,637,6,80,80,normal
525,959,6,22,25,normal
764,926,6,80,20,normal
287,646,17,20,25,normal
576,793,17,23,53,normal
282,922,17,20,53,normal
894,181,6,25,80,normal
610,960,17,79,53,normal
867,359,17,20,79,normal
935,678,17,20,68,normal
902,402,17,22,79,normal
591,143,6,80,25,normal
401,616,6,25,53,normal
562,624,1,68,25,normal
807,682,17,25,20,normal
175,465,6,53,21,normal
469,484,6,23,23,normal
283,875,6,23,79,normal
775,103,17,79,80,normal
85,26,17,53,80,normal
112,915,17,53,79,normal
913,158,17,21,21,normal
894,376,17,53,68,normal
261,585,17,22,21,normal
702,731,6,80,25,normal
148,858,6,23,80,normal
892,327,6,22,53,normal
985,374,6,21,79,normal
280,807,6,20,79,normal
160,362,17,80,53,normal
602,490,17,25,80,normal
305,202,17,53,80,normal
677,226,17,53,25,normal
509,948,17,23,23,normal
691,732,6,23,80,normal
735,487,1,22,21,normal
753,797,6,80,20,normal
489,35,6,53,53,normal
59,860,6,80,22,normal
147,43,17,22,25,normal
224,27,17,20,80,normal
922,246,6,53,80,normal
417,380,89,80,80,normal
34,113,6,53,25,normal
466,929,6,80,53,normal
826,522,6,53,23,normal
52,436,6,20,20,normal
376,744,6,80,21,normal
353,118,89,20,21,normal
643,909,6,53,80,normal
402,967,6,20,25,normal
457,195,17,20,20,normal
832,356,6,68,53,normal
470,195,17,23,53,normal
73,503,89,25,20,normal
44,688,6,80,20,normal
113,499,17,80,53,normal
172,857,17,53,25,normal
378,960,17,53,22,normal
869,599,17,23,53,normal
649,853,1,23,53,normal
96,626,17,22,23,normal
576,179,6,53,21,normal
560,714,17,20,80,normal
224,784,6,80,80,normal
536,520,6,21,20,normal
301,404,17,80,53,normal
543,237,6,80,79,normal
244,448,6,22,23,normal
183,313,6,22,20,normal
181,66,6,23,80,normal
960,459,6,25,80,normal
714,167,6,80,80,normal
86,479,17,79,68,normal
840,462,6,79,21,normal
911,94,17,79,80,normal
478,908,17,23,80,normal
251,952,1,53,80,normal
194,984,6,25,68,normal
27,917,17,68,53,normal
455,896,6,80,53,normal
294,732,6,20,53,normal
776,414,17,53,21,normal
349,401,17,68,22,normal
29,196,17,68,53,normal
408,408,17,22,53,normal
593,181,6,22,80,normal
336,830,17,22,23,normal
486,657,6,21,22,normal
109,959,17,21,25,normal
439,138,6,79,80,normal
519,617,17,80,80,normal
934,530,6,80,79,normal
421,195,6,80,21,normal
1,843,6,20,53,normal
40,575,6,23,68,normal
959,992,6,80,20,normal
49,798,17,53,53,normal
426,994,6,53,68,normal
1709,791,6,22,80,anomaly
525,439,6,20,22,normal
145,8,17,21,80,normal
241,578,17,22,79,normal
72,409,6,53,21,normal
840,45,17,20,53,normal
622,765,1,68,53,normal
812,881,6,53,80,normal
889,779,17,80,22,normal
305,942,6,20,68,normal
117,790,1,53,53,normal
811,606,17,53,53,normal
187,448,17,53,53,normal
172,670,1,53,53,normal
773,624,1,80,80,normal
826,458,6,80,80,normal
81,895,17,22,25,normal
358,115,17,53,68,normal
538,439,1,53,80,normal
293,270,6,53,68,normal
250,120,17,20,79,normal
423,37,17,21,80,normal
413,436,6,53,79,normal
886,608,6,25,21,normal
956,548,17,53,80,normal
719,366,6,80,68,normal
213,998,6,25,25,normal
382,928,1,22,53,normal
302,397,89,80,22,normal
792,973,17,22,80,normal
210,891,6,79,79,normal
979,714,17,53,20,normal
722,51,6,53,20,normal
793,167,17,20,25,normal
143,226,6,23,21,normal
350,19,1,53,68,normal
351,726,6,22,53,normal
974,705,17,20,23,normal
266,713,17,21,22,normal
632,678,6,53,53,normal
393,652,1,68,21,normal
22,553,6,53,68,normal
36,842,17,23,53,normal
862,814,17,79,80,normal
151,623,6,79,23,normal
251,861,6,20,21,normal
348,826,6,22,20,normal
199,42,6,79,53,normal
372,397,6,25,23,normal
282,647,6,53,22,normal
676,535,17,20,25,normal
728,272,17,80,53,normal
330,41,1,22,53,normal
543,591,6,25,80,normal
447,769,6,53,80,normal
86,402,89,80,22,normal
883,467,6,80,80,normal
572,227,17,80,80,normal
234,829,17,80,53,normal
277,27,17,21,53,normal
682,108,89,68,22,normal
106,110,17,80,22,normal
490,373,17,25,22,normal
774,876,6,22,21,normal
924,845,89,21,80,normal
722,688,6,21,53,normal
469,269,17,80,80,normal
374,707,17,25,79,normal
881,744,1,21,23,normal
611,847,17,80,23,normal
823,966,17,21,53,normal
784,394,6,23,79,normal
129,891,6,23,21,normal
117,135,17,68,20,normal
574,980,6,21,53,normal
245,42,6,80,53,normal
643,848,6,80,22,normal
187,701,17,80,80,normal
413,717,6,22,79,normal
277,516,1,79,23,normal
222,506,89,80,22,normal
347,98,6,25,80,normal
955,263,6,25,53,normal
997,244,6,23,21,normal
972,266,17,21,53,normal
184,516,1,53,53,normal
104,899,6,68,20,normal
73,390,6,53,53,normal
455,558,17,22,20,normal
899,349,17,20,25,normal
88,824,6,23,53,normal
77,431,17,80,25,normal
714,740,17,53,20,normal
362,235,17,21,80,normal
644,84,6,22,25,normal
324,631,6,20,23,normal
3,76,6,68,80,normal
261,743,1,25,25,normal
779,742,17,53,21,normal
584,718,17,25,25,normal
620,809,6,68,22,normal
994,250,6,21,53,normal
779,234,17,25,53,normal
699,824,6,21,21,normal
846,295,6,79,20,normal
203,901,17,21,53,normal
416,227,1,25,20,normal
3,937,6,25,25,normal
10,191,1,21,25,normal
574,196,6,21,22,normal
95,855,6,23,21,normal
28,628,6,79,80,normal
22,367,1,23,80,normal
779,696,1,21,22,normal
234,784,6,20,20,normal
960,761,6,23,20,normal
639,143,17,53,80,normal
725,958,17,21,80,normal
506,136,6,20,20,normal
574,645,17,21,53,normal
353,118,6,25,53,normal
678,505,17,22,79,normal
312,619,6,22,53,normal
472,686,17,25,21,normal
750,186,17,23,53,normal
502,645,6,23,23,normal
527,969,89,22,53,normal
210,163,1,53,53,normal
132,348,17,20,20,normal
363,388,17,68,21,normal
248,180,17,21,21,normal
135,572,6,53,25,normal
309,780,17,80,80,normal
627,202,17,53,25,normal
168,109,17,53,22,normal
552,212,17,79,22,normal
832,83,17,53,22,normal
548,578,6,80,79,normal
252,768,6,21,79,normal
572,529,17,53,80,normal
146,692,6,79,22,normal
679,72,6,25,80,normal
685,818,17,53,21,normal
748,22,17,80,53,normal
801,231,6,80,80,normal
44,726,17,20,53,normal
475,848,17,23,80,normal
668,989,6,20,20,normal
449,752,17,53,53,normal
721,389,17,53,80,normal
867,481,17,79,80,normal
219,99,6,20,80,normal
331,882,17,23,21,normal
608,117,1,80,53,normal
317,601,17,80,25,normal
663,831,17,80,25,normal
531,76,17,23,21,normal
857,843,89,80,80,normal
582,111,6,53,53,normal
394,488,89,53,23,normal
990,896,89,80,68,normal
310,840,6,21,25,normal
787,355,6,23,53,normal
536,763,17,53,68,normal
16,752,17,80,80,normal
163,863,6,21,80,normal
165,873,6,80,68,normal
942,113,1,80,21,normal
249,733,6,79,22,normal
626,154,17,23,80,normal
520,987,6,80,80,normal
782,441,6,80,22,normal
591,925,89,22,80,normal
638,787,1,20,53,normal
824,610,6,22,53,normal
208,153,1,68,80,normal
14,354,6,23,25,normal
61,11,6,21,22,normal
284,681,89,80,79,normal
109,207,6,68,25,normal
442,612,6,23,53,normal
813,539,6,22,53,normal
167,957,6,21,80,normal
378,781,6,80,80,normal
389,432,6,79,80,normal
139,652,89,80,68,normal
601,69,17,23,80,normal
136,618,17,80,23,normal
652,710,6,21,23,normal
975,463,17,53,21,normal
609,706,6,22,21,normal
506,690,17,80,25,normal
725,123,17,80,80,normal
852,241,17,25,20,normal
920,644,17,53,20,normal
578,606,6,53,53,normal
817,463,6,25,80,normal
484,567,6,23,80,normal
954,216,6,20,68,normal
807,169,6,80,68,normal
782,534,17,79,25,normal
613,98,17,79,21,normal
363,567,6,80,53,normal
799,373,17,68,68,normal
708,243,6,68,80,normal
336,598,17,53,21,normal
299,251,6,20,20,normal
814,859,6,22,53,normal
668,118,6,80,79,normal
954,159,89,80,53,normal
381,486,17,20,53,normal
507,944,17,25,53,normal
950,668,17,68,25,normal
933,59,6,23,53,normal
602,499,6,53,18,anomaly
623,702,6,53,23,normal
224,215,17,79,22,normal
554,970,17,53,20,normal
799,134,17,68,21,normal
17,971,6,53,25,normal
849,547,1,80,80,normal
184,827,1,80,80,normal
700,894,1,79,22,normal
511,961,6,80,80,normal
23,209,6,23,68,normal
671,536,1,80,25,normal
211,76,17,23,25,normal
305,599,17,21,22,normal
1000,125,17,80,53,normal
988,588,17,53,20,normal
884,833,17,80,20,normal
14,158,17,53,80,normal
454,235,1,80,80,normal
705,475,6,80,23,normal
197,262,17,80,25,normal
476,233,89,53,23,normal
200,365,17,25,25,normal
216,789,17,53,25,normal
685,91,1,79,23,normal
434,267,17,25,53,normal
149,8,6,80,53,normal
732,246,89,79,79,normal
209,643,6,22,22,normal
386,520,6,80,80,normal
924,797,6,25,53,normal
489,900,89,20,53,normal
454,764,17,23,23,normal
382,135,17,79,53,normal
129,898,17,53,23,normal
576,755,17,25,21,normal
984,296,17,21,25,normal
999,935,6,53,53,normal
977,276,6,68,80,normal
348,302,6,21,20,normal
470,795,6,23,22,normal
783,861,6,80,20,normal
339,825,17,80,53,normal
413,721,17,53,79,normal
87,279,17,80,68,normal
683,337,17,20,20,normal
820,428,17,80,53,normal
70,267,1,53,68,normal
562,774,17,53,53,normal
302,870,17,53,68,normal
311,443,17,21,53,normal
797,756,17,68,22,normal
533,988,1,25,53,normal
158,45,17,53,53,normal
610,356,17,53,80,normal
854,105,6,23,80,normal
956,701,6,22,80,normal
518,937,1,80,21,normal
767,927,17,25,23,normal
636,599,6,53,80,normal
984,362,17,23,68,normal
771,429,17,21,80,normal
987,307,17,53,20,normal
808,972,6,20,79,normal
847,115,17,23,20,normal
532,195,6,80,25,normal
992,528,6,53,25,normal
340,503,1,22,25,normal
